"Estilo","Clase","Size.L.","OG","FG","ABV","IBU","Color","BoilSize","BoilTime","BoilGravity","Efficiency","SugarScale","BrewMethod"
"SWEET","STOUT",20.82,1.073,1.032,5.33,37.45,40,103,90,36,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.057,1.012,5.89,46.37,4.15,101,60,33,80,"Specific Gravity","All Grain"
"DOUBLE","IPA",28.39,1.069,1.008,8.46,33,6.11,116,60,35,65,"Specific Gravity","All Grain"
"AMERICAN","PALE",7.57,1.053,1.01,5.66,41.65,9.45,150,60,55,35,"Specific Gravity","extract"
"AMERICAN","IPA",20.5,1.06,1.011,6.46,59.01,8.61,73,60,33,78,"Specific Gravity","BIAB"
"BLONDE","ALE",13.25,1.051,1.013,4.97,19.27,5.52,37,60,26,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.048,1.009,5.06,36.32,6.07,95,60,19,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.074,1.019,7.16,89.7,9.59,83,60,42,75,"Specific Gravity","All Grain"
"BLONDE","ALE",19,1.04,1.008,4.23,17.28,4.73,21,60,38,70,"Specific Gravity","BIAB"
"ROBUST","PORTER",20.82,1.063,1.018,5.98,27.72,40,7,60,95,35,"Specific Gravity","extract"
"BROWN","PORTER",18.93,1.072,1.023,6.48,31.5,50,7,60,91,70,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",23,1.033,1.006,3.49,89.26,3.36,6,60,53,35,"Specific Gravity","extract"
"AMERICAN","IPA",20.8,1.067,1.012,7.25,61.05,5.07,97,60,33,75,"Specific Gravity","BIAB"
"AMERICAN","IPA",21,1.07,1.015,7.22,75.21,3.74,73,60,43,75,"Specific Gravity","BIAB"
"SPECIALTY","IPA",25,1.07,1.019,6.69,44.54,20.46,121,90,35,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.064,1.016,6.26,32.98,4.24,95,90,31,70,"Specific Gravity","All Grain"
"BLONDE","ALE",70,1.045,1.008,4.9,20.35,3.24,161,70,41,90,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.069,1.019,6.57,63.21,7.34,95,60,34,70,"Specific Gravity","BIAB"
"SPECIALTY","IPA",20.82,1.071,1.018,7.03,68.36,21.44,95,60,36,70,"Specific Gravity","All Grain"
"ENGLISH","PORTER",20.82,1.057,1.016,5.4,28.64,38.43,113,90,22,60,"Specific Gravity","BIAB"
"AMERICAN","PALE",23,1.054,1.011,5.71,49.87,6.8,97,60,28,75,"Specific Gravity","BIAB"
"AMERICAN","IPA",23,1.03,1.007,3.01,0,7.72,97,60,9,35,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.076,1.018,7.57,175.2,5.53,108,90,37,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",19,1.058,1.011,6.09,140.31,5.64,61,60,32,60,"Specific Gravity","All Grain"
"IMPERIAL","IPA",18.93,1.075,1.015,7.9,98.44,7.69,83,60,31,65,"Specific Gravity","Partial Mash"
"IMPERIAL","STOUT",18.93,1.094,1.021,9.65,102.64,39.31,108,60,43,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",21,1.049,1.009,5.21,39.36,11.1,73,60,25,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",20.82,1.09,1.024,8.77,45.41,50,95,60,50,50,"Specific Gravity","All Grain"
"BROWN","PORTER",20.82,1.049,1.015,4.41,18.36,26.11,95,60,20,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",21,1.059,1.013,6.07,53.98,15.49,97,70,28,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.065,1.015,6.56,101.76,10.66,40,60,70,75,"Specific Gravity","extract"
"ROBUST","PORTER",20.82,1.102,1.029,9.64,85.91,33.29,7,60,115,35,"Specific Gravity","extract"
"ENGLISH","IPA",25,1.044,1.013,4.06,49.86,5.02,52,60,39,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",22,1.066,1.011,7.19,47.6,6.68,97,60,35,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",37.85,1.076,1.01,8.74,10.06,8.46,164,105,35,67,"Specific Gravity","All Grain"
"BLONDE","ALE",13,1.055,1.013,5.56,21.98,5.09,52,60,20,77,"Specific Gravity","All Grain"
"SPECIALTY","IPA",80,1.058,1.011,6.11,56.09,4.78,173,90,50,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",11.36,1.055,1.011,5.71,32.54,9.19,23,60,28,75,"Specific Gravity","All Grain"
"AMERICAN","STOUT",18.93,1.071,1.025,6.05,34.47,50,62,60,43,62,"Specific Gravity","All Grain"
"BELGIAN","PALE",20.82,1.048,1.012,4.7,35.07,7.73,130,60,11,60,"Specific Gravity","All Grain"
"CREAM","ALE",20.82,1.04,1.009,4.07,7.54,4.08,95,60,13,55,"Specific Gravity","All Grain"
"AMERICAN","IPA",24,1.064,1.018,6.02,55.69,10.57,97,60,38,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",3.79,1.064,1.015,6.37,40.94,6.19,170,60,21,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",117.35,16.0975,3.19727,7,70.91,8.06,25,60,131,85,"Plato","All Grain"
"AMERICAN","PALE",30,12.9715,2.39381,5.66,36.07,7.82,128,60,121,82,"Plato","All Grain"
"IMPERIAL","STOUT",19.87,1.096,1.021,9.82,109.14,50,71,60,62,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.058,1.015,5.82,20.91,7.24,71,60,30,57,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.054,1.008,6,39.66,4.97,95,60,24,72,"Specific Gravity","BIAB"
"AMERICAN","PALE",18.93,1.054,1.014,5.33,31.48,5.87,24,45,55,35,"Specific Gravity","extract"
"AMERICAN","IPA",50,1.077,1.013,8.4,56.3,7.3,161,75,54,90,"Specific Gravity","All Grain"
"OLD","ALE",43.53,1.065,1.018,6.16,31.62,10.65,143,60,47,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",22.71,1.063,1.012,6.74,67.1,8.02,95,60,35,60,"Specific Gravity","All Grain"
"OATMEAL","STOUT",5,1.052,1.017,4.63,37.19,27.29,192,60,16,70,"Specific Gravity","BIAB"
"OATMEAL","STOUT",23,1.056,1.011,5.87,51.56,37.25,119,75,23,66,"Specific Gravity","BIAB"
"AMERICAN","PALE",25,1.052,1.01,5.44,61.44,6.91,97,90,30,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",21,1.054,1.011,5.61,42.11,4.23,73,60,30,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",104,1.06,1.013,6.21,46.8,4.58,17,60,34,65,"Specific Gravity","All Grain"
"CREAM","ALE",20.82,1.054,1.014,5.36,19.97,5.94,95,75,24,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",15,1.079,1.013,8.63,49.47,9.76,52,60,43,70,"Specific Gravity","BIAB"
"DRY","STOUT",20,1.046,1.008,4.98,42.49,29.34,83,60,19,70,"Specific Gravity","BIAB"
"DOUBLE","IPA",22.71,1.071,1.015,7.37,228.59,10.21,95,60,41,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",15.14,1.069,1.016,6.88,68.94,4.87,40,60,45,70,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",20.82,1.051,1.013,5.01,21.07,3.1,7,60,75,35,"Specific Gravity","extract"
"AMERICAN","IPA",20.82,1.068,1.016,6.81,78.65,13.52,7,60,100,35,"Specific Gravity","Partial Mash"
"AMERICAN","STOUT",20.82,1.075,1.016,7.69,30.69,40.16,71,60,47,77,"Specific Gravity","All Grain"
"CREAM","ALE",18.93,1.042,1.01,4.26,51.35,2.76,28,70,37,35,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",18.93,1.083,1.02,8.34,89.56,5.33,83,60,43,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",24,1.064,1.016,6.32,100.96,4.32,87,90,41,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.047,1.009,4.98,45.19,7.43,6,60,68,35,"Specific Gravity","extract"
"AMERICAN","PALE",21,1.056,1.013,5.64,54.31,9.48,97,60,25,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.053,1.01,5.71,41.51,4.07,83,60,22,60,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.064,1.011,6.87,106.1,29.23,83,60,34,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",21,1.062,1.014,6.27,61.73,5.97,73,60,36,73,"Specific Gravity","BIAB"
"AMERICAN","IPA",23,1.055,1.014,5.45,72.51,5.93,87,60,31,73,"Specific Gravity","All Grain"
"ENGLISH","PORTER",22,1.078,1.022,7.3,104.71,30.95,83,90,49,75,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",60.01,1.045,1.007,5.03,15.36,3,173,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.068,1.014,7.1,82.23,7.35,77,60,40,70,"Specific Gravity","All Grain"
"BALTIC","PORTER",39.75,1.089,1.022,8.83,36.51,46.02,155,90,51,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",18.93,1.06,1.015,5.87,40.39,10.71,95,60,24,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.056,1.016,5.21,54.76,4.68,7,60,83,75,"Specific Gravity","Partial Mash"
"SPECIALTY","IPA",41.64,1.066,1.015,6.81,108.82,32.04,148,60,40,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.067,1.017,6.53,67.58,7.79,71,60,41,75,"Specific Gravity","Partial Mash"
"IMPERIAL","IPA",20.82,1.102,1.018,10.98,101.8,9.81,95,60,59,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.057,1.011,5.98,34.36,4.39,73,60,29,75,"Specific Gravity","All Grain"
"BALTIC","PORTER",20.82,1.055,1.015,5.23,28.84,32.56,95,60,25,85,"Specific Gravity","All Grain"
"DOUBLE","IPA",11,1.073,1.015,7.53,78.7,8.41,14,60,51,73,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.078,1.02,7.68,109.74,11.16,105,90,39,67,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.072,1.015,7.41,68.72,6.27,90,60,43,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.057,1.014,5.58,56.18,9.61,95,90,26,77,"Specific Gravity","BIAB"
"OATMEAL","STOUT",25,1.059,1.014,5.99,27.7,12.48,87,60,39,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.1,1.063,1.011,6.84,65.17,5.17,79,20,32,70,"Specific Gravity","BIAB"
"CREAM","ALE",20.82,1.051,1.015,4.76,17.06,3.35,71,60,27,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",22,1.061,1.015,5.97,0,10.26,107,60,28,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",28,1.06,1.01,6.55,49.59,12.66,115,60,36,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",22.71,1.057,1.017,5.26,0,4.73,83,90,30,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",25,1.058,1.014,5.79,38.55,5.93,93,60,36,77,"Specific Gravity","All Grain"
"BLONDE","ALE",24,1.044,1.008,4.81,25.64,3.11,101,75,21,75,"Specific Gravity","All Grain"
"BLONDE","ALE",400,1.049,1.009,5.16,44.11,7.84,160,60,20,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",12,1.065,1.015,6.49,78.51,4.38,36,60,33,70,"Specific Gravity","All Grain"
"CREAM","ALE",20.82,1.054,1.015,5.14,23.22,3.1,18,60,68,70,"Specific Gravity","Partial Mash"
"AMERICAN","IPA",25,1.066,1.011,7.19,59.57,10.9,97,60,42,75,"Specific Gravity","BIAB"
"AMERICAN","PALE",25,1.061,1.01,6.66,37.99,3.42,101,90,36,75,"Specific Gravity","BIAB"
"TROPICAL","STOUT",20.82,1.068,1.019,6.45,32.4,50,90,30,35,55,"Specific Gravity","BIAB"
"AMERICAN","IPA",10,1.064,1.012,6.85,73.84,4.73,14,60,37,70,"Specific Gravity","All Grain"
"DRY","STOUT",25,1.042,1.013,3.85,44.24,34.38,52,60,36,70,"Specific Gravity","All Grain"
"CREAM","ALE",3.79,1.069,1.016,6.98,17.63,3.62,150,60,30,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",22.71,1.082,1.023,7.7,57.79,5.55,7,60,110,35,"Specific Gravity","extract"
"AMERICAN","IPA",38,1.047,1.009,5.01,73.23,7.76,137,60,27,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.066,1.014,6.85,95.01,6.12,108,90,30,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",20.82,1.065,1.016,6.39,11.13,34.04,95,60,32,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",21,1.058,1.018,5.28,54.09,5.03,97,60,27,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",13,1.059,1.014,5.83,95.6,9.22,42,60,27,70,"Specific Gravity","BIAB"
"DOUBLE","IPA",20.82,1.085,1.019,8.64,156.4,5.7,83,90,51,75,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",38,1.049,1.009,5.29,33.74,3.76,137,60,28,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",9,1.046,1.009,4.88,32.47,6.78,1,60,26,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",25,1.07,1.013,7.39,42.05,8.22,87,90,48,75,"Specific Gravity","All Grain"
"AMERICAN","PALE",90,1.057,1.013,5.8,68.36,5.47,3,60,35,78,"Specific Gravity","All Grain"
"AMERICAN","PALE",20,1.063,1.016,6.17,0,6.55,97,60,28,65,"Specific Gravity","BIAB"
"BROWN","PORTER",52,1.044,1.01,4.47,23.38,21.33,175,60,18,80,"Specific Gravity","All Grain"
"DOUBLE","IPA",11.36,1.079,1.013,8.66,151.55,6.03,46,90,32,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.058,1.014,5.84,96.87,8.41,108,75,24,55,"Specific Gravity","All Grain"
"BLONDE","ALE",21.77,1.054,1.012,5.49,54.63,6.86,106,60,24,73,"Specific Gravity","BIAB"
"BELGIAN","PALE",7.57,1.048,1.009,5.12,28.05,9.23,7,60,16,75,"Specific Gravity","BIAB"
"DOUBLE","IPA",8.52,1.072,1.012,7.86,88.24,4.84,2,60,26,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",4.5,1.06,1.013,6.13,56.59,7.22,167,60,29,35,"Specific Gravity","extract"
"AMERICAN","IPA",23,1.063,1.009,7.15,55.92,7.04,119,60,28,73,"Specific Gravity","BIAB"
"AMERICAN","PORTER",22.71,1.057,1.014,5.68,34.95,32.44,95,60,29,78,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",10,1.091,1.022,9.11,78.8,50,21,90,49,60,"Specific Gravity","All Grain"
"DOUBLE","IPA",18.93,1.08,1.019,8,89.55,6.94,62,75,51,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.055,1.01,5.96,47.74,7.28,71,60,31,75,"Specific Gravity","All Grain"
"AMERICAN","PORTER",20.82,1.071,1.018,7.01,46.94,35.6,95,90,36,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",21.77,1.043,1.008,4.53,1605.83,6.23,83,60,19,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",18.93,1.053,1.013,5.22,46.41,12.49,71,60,25,75,"Specific Gravity","All Grain"
"BLONDE","ALE",20.82,1.045,1.009,4.72,18.89,4.06,108,60,15,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",200,1.051,1.013,5.03,62.34,23.59,55,60,35,35,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.055,1.011,5.89,51.41,6.04,71,60,31,70,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",20.82,1.071,1.018,6.95,35.36,16.19,95,60,36,85,"Specific Gravity","All Grain"
"AMERICAN","IPA",17,1.059,1.013,6.08,54.54,28.56,63,60,28,75,"Specific Gravity","BIAB"
"BROWN","PORTER",11.36,1.062,1.022,5.25,31.67,38.02,30,60,29,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.069,1.014,7.16,160.87,10.77,18,90,4,35,"Specific Gravity","extract"
"AMERICAN","IPA",53,1.062,1.016,6.09,63.13,4.23,174,60,39,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.078,1.019,7.81,77.73,40.54,7,60,105,35,"Specific Gravity","extract"
"AMERICAN","STOUT",20.82,1.073,1.017,7.38,31.95,40,95,60,38,65,"Specific Gravity","All Grain"
"AMERICAN","IPA",7.57,1.059,1.013,6.14,58.37,4.41,203,60,30,78,"Specific Gravity","BIAB"
"AMERICAN","IPA",45.42,1.081,1.023,7.67,182.87,39.18,155,75,54,70,"Specific Gravity","All Grain"
"AMERICAN","PALE",20.82,1.039,1.011,3.76,35.77,4.43,83,120,15,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",45.42,1.058,1.01,6.24,58.74,7.54,148,60,37,80,"Specific Gravity","All Grain"
"ENGLISH","IPA",41.64,1.059,1.015,5.75,47.51,9.31,145,60,36,80,"Specific Gravity","All Grain"
"AMERICAN","STOUT",40,1.059,1.013,6.08,42.89,43.69,142,60,37,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.073,1.019,7.07,93.28,8.34,71,60,40,35,"Specific Gravity","extract"
"SPECIALTY","IPA",18.93,1.061,1.014,6.1,149.47,23.76,62,60,35,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",22,1.047,1.008,5.17,32.86,11.17,119,60,16,70,"Specific Gravity","BIAB"
"AMERICAN","PALE",18.93,1.053,1.013,5.2,32.14,5.09,7,60,71,35,"Specific Gravity","extract"
"IMPERIAL","IPA",41.64,1.089,1.024,8.51,116.83,7.91,152,60,56,70,"Specific Gravity","All Grain"
"INTERNATIONAL","PALE",10.22,1.05,1.008,5.52,34.2,3.74,29,90,17,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",75,1.073,1.016,7.39,60.06,9.88,196,60,52,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18,1.062,1.015,6.16,37.11,3.01,73,90,29,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.055,1.015,5.3,36.22,8.46,83,60,23,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.058,1.013,5.93,99.99,4.13,141,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.065,1.015,6.49,56.42,12.1,18,90,74,35,"Specific Gravity","extract"
"AMERICAN","PALE",13,1.049,1.012,4.88,41.87,7.74,27,70,26,75,"Specific Gravity","All Grain"
"SPECIALTY","IPA",18.93,1.069,1.015,6.97,129.61,7.9,108,60,27,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.059,1.015,5.81,62.92,10.98,7,60,88,45,"Specific Gravity","extract"
"IMPERIAL","IPA",20.82,1.074,1.016,7.59,192.76,6.72,95,60,38,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",18.93,1.172,1.051,15.92,125.42,50,95,240,94,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.068,1.011,7.48,65.49,5.94,95,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",37.85,1.067,1.014,6.88,91.18,6.93,139,60,42,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",20,1.055,1.014,5.37,81.71,9.57,6,60,80,35,"Specific Gravity","extract"
"SPECIALTY","IPA",19.87,1.064,1.011,6.96,69.59,14.52,71,60,35,70,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.085,1.014,9.27,102.55,8.86,71,60,56,70,"Specific Gravity","All Grain"
"SPECIALTY","IPA",20.82,1.055,1.01,5.94,38.97,13.44,71,30,31,65,"Specific Gravity","BIAB"
"IRISH","STOUT",18.93,1.044,1.011,4.36,47.63,28.04,71,70,18,35,"Specific Gravity","extract"
"BELGIAN","PALE",50,1.056,1.014,5.48,33.99,3.65,179,90,27,65,"Specific Gravity","All Grain"
"SPECIALTY","IPA",40,1.04,1.01,3.93,114.31,18.81,154,60,15,35,"Specific Gravity","All Grain"
"SWEET","STOUT",20.82,1.074,1.015,7.78,38.06,50,71,60,47,70,"Specific Gravity","BIAB"
"AMERICAN","IPA",20.82,1.068,1.014,7.1,102.85,13.35,83,60,38,69,"Specific Gravity","All Grain"
"IMPERIAL","IPA",20.82,1.073,1.018,7.2,122.99,12.73,95,60,38,69,"Specific Gravity","All Grain"
"OATMEAL","STOUT",18,1.053,1.013,5.13,38.51,22.3,59,60,27,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",18.93,1.048,1.009,5.13,41.13,8.68,18,20,53,35,"Specific Gravity","extract"
"DRY","STOUT",38,1.043,1.011,4.27,38.41,38.39,142,60,21,70,"Specific Gravity","BIAB"
"DOUBLE","IPA",18.93,1.089,1.016,9.53,97.23,8.82,95,70,31,60,"Specific Gravity","BIAB"
"AMERICAN","IPA",22.71,1.063,1.014,6.43,41.62,7.04,95,60,34,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",19.87,1.055,1.01,5.92,59.71,6.81,83,60,25,70,"Specific Gravity","All Grain"
"BLONDE","ALE",19.87,1.051,1.013,5,22.27,3.94,95,60,20,60,"Specific Gravity","All Grain"
"OLD","ALE",22,1.064,1.014,6.49,38.18,15.64,87,60,36,71,"Specific Gravity","All Grain"
"IMPERIAL","IPA",25,1.08,1.017,8.31,112.57,10.24,107,60,51,70,"Specific Gravity","All Grain"
"BELGIAN","PALE",20.82,1.054,1.012,5.48,26.78,7.11,83,60,27,35,"Specific Gravity","extract"
"AMERICAN","PALE",45.42,1.042,1.008,4.51,58.8,8.2,46,60,82,35,"Specific Gravity","Partial Mash"
"AMERICAN","PALE",9.46,1.062,1.015,6.2,41.67,10.69,46,60,15,35,"Specific Gravity","All Grain"
"SWEET","STOUT",23,1.052,1.012,5.14,25.66,32.47,101,60,25,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",13.25,1.064,1.012,6.82,86.33,7.17,28,60,40,65,"Specific Gravity","BIAB"
"AMERICAN","PALE",15.14,1.048,1.011,4.84,35.22,6.5,74,60,13,80,"Specific Gravity","All Grain"
"AMERICAN","IPA",50,1.058,1.013,5.9,71.96,8.31,161,60,37,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",50,1.053,1.011,5.41,66.13,6.22,161,60,32,72,"Specific Gravity","All Grain"
"AMERICAN","PALE",58.67,1.047,1.009,5.01,47.66,10.32,187,70,23,68,"Specific Gravity","All Grain"
"AMERICAN","PALE",12,1.045,1.01,4.69,91.42,10.92,22,60,23,50,"Specific Gravity","BIAB"
"IMPERIAL","IPA",20.82,1.085,1.024,8.02,126.53,26.38,95,60,47,75,"Specific Gravity","All Grain"
"AMERICAN","IPA",20.82,1.077,1.014,8.32,132.16,7.32,95,60,41,70,"Specific Gravity","All Grain"
"DRY","STOUT",37.85,1.047,1.012,4.65,31.3,40.3,95,60,47,70,"Specific Gravity","All Grain"
"IMPERIAL","STOUT",41.64,1.125,1.045,10.61,83.36,50,152,90,83,70,"Specific Gravity","All Grain"
"AMERICAN","IPA",27,1.051,1.01,5.37,34.09,4.68,111,60,28,70,"Specific Gravity","All Grain"
