"","BARRIO","SITUACION_RENTA","MOTORIZACION","POBLACION","MUJERES","HOMBRES","ED.SECUNDARIA","SIN_ESTUDIOS_PREES_SECUND","PROFESIONALES","UNIVERSITARIOS","EXTRANJEROS","TASA_NACIMIENTOS","TASA_FECUNDIDAD","TASA_TENDENCIA","TASA_ENVEJECIMIENTO","TASA_PARO","PARO<39","PARO39-64","PARO>65","IBI","IAE","SANCION_URBA","OBLIGA_URBANIS","RENTA_FAMILIA","RENTA>39","RENTA40-64","RENTA>65","AGUA","LICENCIA_CONST","BASURA","VADO","MESAS/SILLAS","VALLAS","OCUPA_DOM","APERTURA","N_VEHICULOS","N_TURISMOS","N_MOTOS","MOTORIZ_X_1000","MUJERES_%_xBarrio","HOMBRES_%_xBarrio","ED.SECUNDARIA_%_xBarrio","SIN_ESTUDIOS_PREES_SECUND_%_xBarrio","PROFESIONALES_%_xBarrio","UNIVERSITARIOS_%_xBarrio","MUJERES_%_s/total","HOMBRES_%_s/total","ED.SECUNDARIA_%_s/total","SIN_ESTUDIOS_PREES_SECUND_%_s/total","PROFESIONALES_%_s/total","UNIVERSITARIOS_%_s/total","VEHICxPERSONA","ingresoIBI_X_PERS","ingresoIAE_X_PERS","ingresoSANCION_URBA_X_PERS","ingresoOBLIGA_URBANIS_X_PERS","ingresoAGUA_X_PERS","ingresoLICENCIA_CONST_X_PERS","ingresoBASURA_X_PERS","ingresoVADO_X_PERS","ingresoMESAS/SILLAS_X_PERS","ingresoVALLAS_X_PERS","ingresoOCUPA_DOM_X_PERS","ingresoAPERTURA_X_PERS","EXTR_%","SIN_ESTUDIOS_PREES_SECUND_%_s/total_%_s/total","PROFESIONALES_%_s/total_%_s/total","AGUA_PERSONA","BASURA_PERSONA","ingresoAPERTURA_X_PERS_%_s/total","EXTR_%_%_s/total","COCHES/MOTOS","VADO/VEHICULOS"
"1","AIETE","RENTA ALTA","MOTORIZADO",14374,7275,7099,2898,5128,1573,4775,324,8.00055656045638,18.36,85.75,110.57,7.5,9.2,6.8,0,2593550.43,77839.87,14400,3906.67,55074,14382,31472,26549,2238455.37,163624.12,84075.37,20716.27,7286.25,178.64,0,0,9560,6303,2543,0.66,50.6122165020175,49.3877834979825,20.1614025323501,35.6755252539307,10.9433699735634,33.2197022401558,7.32208098070594,7.99445939706528,7.48392428272603,6.63509561887017,6.4327485380117,10.0117415188493,0.665089745373591,18043.345137053,541.532419646584,100.180882148323,27.1787254765549,15572.9467789064,1138.33393627383,584.912828718519,144.123208571031,50.6904828161959,1.24279949909559,0,0,2.25406984833728,6.63509561887017,6.4327485380117,15572.9467789064,584.912828718519,0,3.72274436754737,0.403458670474377,2.16697384937238
"2","ALTZA","RENTA BAJA","MOTORIZADO",20451,10457,9994,3729,11713,3154,1855,946,6.40555474059948,15.32,83.49,165.44,11.3,12,11,1.9,2121817.72,222336.45,1200,5361.58,29831,11649,16597,14225,2912278.03,34471.01,214511.08,15710.67,38521.83,10662.28,432.25,0,11176,8168,1875,0.55,51.1319739866021,48.8680260133979,18.2338271967141,57.2734829592685,15.4222287418708,9.0704611021466,10.5246736515797,11.2546312458474,9.6299356971309,15.1553968377196,12.8982128982129,3.88937811884094,0.54647694489267,10375.1294313237,1087.16664221798,5.86768373184685,26.2167131191629,14240.2720160383,168.554153831109,1048.90264534742,76.8210356461787,188.361596009975,52.1357390836634,2.11358857757567,0,4.6256906752726,15.1553968377196,12.8982128982129,14240.2720160383,1048.90264534742,0,7.63963189520949,0.229554358472086,1.40575071581961
"3","AMARA BERRI","RENTA MEDIA","POCO MOTORIZADO",30500,16498,14002,6622,10932,3700,9246,1271,7.27868852459016,18.5,92.26,175.25,9.2,10.3,8.6,1.9,5483385.29,546736.21,2400,2923.52,41059,13303,25125,20419,4879341.3,237836.65,598687.92,61572.78,230340.38,95378.77,13.65,0,14574,11101,2455,0.48,54.0918032786885,45.9081967213115,21.7114754098361,35.8426229508197,12.1311475409836,30.3147540983607,16.6047686624999,15.7681955877882,17.1009477571469,14.1448645291515,15.1310677626467,19.3860863001635,0.477836065573771,17978.3124262295,1792.57773770492,7.86885245901639,9.58531147540983,15997.8403278689,779.792295081967,1962.91121311475,201.877967213115,755.214360655738,312.717278688525,0.0447540983606557,0,4.1672131147541,14.1448645291515,15.1310677626467,15997.8403278689,1962.91121311475,0,6.88242609818144,0.221151247635348,4.22483738163853
"4","ANTIGUO","RENTA ALTA","MOTORIZADO",14546,7796,6750,2929,5264,1694,4659,396,5.43104633576241,11.51,90.84,226.93,7.3,9.8,6.2,0,4564392.17,486305.02,600,0,52170,12590,33476,25460,2984519.88,159279.64,446013.94,103347.25,181101.71,40115.72,1305.81,0,8895,6492,1706,0.61,53.5954901691187,46.4045098308813,20.1361198955039,36.1886429258903,11.6458132820019,32.0294238966039,7.84645269080186,7.60143695311884,7.56398006352814,6.81106539347359,6.92757534862798,9.76852434268461,0.611508318438059,31379.0194555204,3343.22164168844,4.12484531830056,0,20517.8047573216,1095.00646225767,3066.23085384298,710.48570053623,1245.02756771621,275.785233053761,8.97710710848343,0,2.72239791007837,6.81106539347359,6.92757534862798,20517.8047573216,3066.23085384298,0,4.4962189141756,0.262784966112138,11.6185778527263
"5","AÃ‘ORGA","RENTA MEDIA","MUY MOTORIZADO",2278,1157,1121,431,997,398,452,53,8.34064969271291,15.15,74.42,144.38,9.2,9.8,8.9,0,756794.31,808065.5,0,0,40985,13309,22906,18880,585281.78,60591.35,35090.51,1468.46,925.92,0,0,0,2063,1532,293,0.92,50.7901668129939,49.2098331870061,18.9201053555751,43.766461808604,17.4714661984197,19.8419666374012,1.16448765562567,1.26240160362166,1.11303359760349,1.29001371529126,1.62761215392794,0.947708307124586,0.905618964003512,33221.8748902546,35472.5856014047,0,0,25692.7910447761,2659.84855136084,1540.40869183494,64.4626865671642,40.6461808604039,0,0,0,2.32660228270413,1.29001371529126,1.62761215392794,25692.7910447761,1540.40869183494,0,3.84253644573114,0.191253263707572,0.711808046534174
"6","ATEGORRIETA- ULIA","RENTA ALTA","POCO MOTORIZADO",4062,2102,1960,812,1663,460,1127,130,7.63170851797144,20,84.94,167.75,8.5,9.1,8.5,0,807435.84,63526.52,1200,0,48803,12240,27661,23486,716311.8,22363.75,71893.8,7101.41,0,0,0,0,0,0,0,0,51.7479074347612,48.2520925652388,19.9901526341704,40.9404234367307,11.3244707040867,27.7449532250123,2.11560332940809,2.20723206342414,2.09694496810681,2.15174805268742,1.88115977589662,2.36298066842789,0,19877.7902511078,1563.92220580995,29.5420974889217,0,17634.4608567208,550.560068931561,1769.91137370753,174.82545544067,0,0,0,0,3.20039389463319,2.15174805268742,1.88115977589662,17634.4608567208,1769.91137370753,0,5.28566067017279,0,Inf
"7","CENTRO","RENTA ALTA","MOTORIZADO",21974,12044,9930,4869,7216,2542,7347,1010,4.73286611449895,12.09,83.46,291.59,9,10,8.6,0.9,11358348.12,2369557.07,11400,226412.61,46422,12520,30042,26489,5933564.75,653029.76,1508096.09,94414.13,553397.1,188474.23,6192.06,0,12277,9017,2184,0.56,54.8102302721398,45.1897697278602,22.1580049148994,32.8388095021389,11.568216983708,33.4349685992537,12.1219441005666,11.1825583621437,12.5739224750148,9.33674921719328,10.3954525007157,15.4044533903636,0.558705743150997,51689.9432056066,10783.4580413216,51.8794939473924,1030.36593246564,27002.6610994812,2971.82925275325,6863.09315554747,429.662919814326,2518.4176754346,857.714708291617,28.1790297624465,0,4.59634113042687,9.33674921719328,10.3954525007157,27002.6610994812,6863.09315554747,0,7.59115919466513,0.242209160474659,7.69032581249491
"8","EGIA","RENTA MEDIA","POCO MOTORIZADO",14968,8064,6904,2928,6607,2081,3352,610,6.54730090860502,15.6,93.28,199.02,9.6,11.1,9,0,2463972.43,281985.58,21200,0,35471,12049,22019,16834,2461364.42,126142.18,304259.24,23855.26,35779.25,17094.4,68.67,2700.15,7513,5344,1484,0.5,53.874933190807,46.1250668091929,19.5617316942811,44.140833778728,13.9029930518439,22.394441475147,8.11618708294333,7.77486232953074,7.56139761898613,8.54876691768238,8.51020324704535,7.0281377112425,0.501937466595404,16461.6009486905,1883.92290219134,141.635489043292,0,16444.1770443613,842.745724211651,2032.73142704436,159.375066809193,239.038281667557,114.206306787814,0.458778727952966,18.0394842330305,4.0753607696419,8.54876691768238,8.51020324704535,16444.1770443613,2032.73142704436,100,6.7307259187639,0.277694610778443,3.17519765739385
"9","GROS","RENTA MEDIA","POCO MOTORIZADO",18428,10102,8326,4019,6712,2249,5448,786,6.72889081831995,17.84,93.6,284.56,9.7,11.5,8.9,0.8,4871135.63,678765.21,12800,23501.77,42060,12337,26049,22667,3495519.89,272754.01,803022.42,36469.06,221991.15,72846.11,344.3,0,9502,7179,1678,0.52,54.8187540698936,45.1812459301064,21.8092033861515,36.4228348165835,12.2042543954851,29.5637074017799,10.1673762291535,9.37623171432111,10.3788446143119,8.68462593483943,9.19723551302499,11.4228204805636,0.515628391578033,26433.3385608856,3683.33628174517,69.459518124593,127.532939005861,18968.5255589321,1480.10641415238,4357.62112003473,197.900260473193,1204.64049272846,395.301226394617,1.86835250705448,0,4.26524853483829,8.68462593483943,9.19723551302499,18968.5255589321,4357.62112003473,0,7.04433803192555,0.233737289316061,3.83804041254473
"10","IBAETA","RENTA ALTA","MUY MOTORIZADO",9940,5139,4801,1983,3778,1206,2973,278,6.53923541247485,15.64,77.09,122.13,7.4,9.7,6.4,0,2478476.37,824179.25,3000,0,48597,12945,29668,21842,2092104.93,50842.44,253278.01,30780.05,46362.71,204.16,409.5,0,7440,5097,1456,0.75,51.7002012072435,48.2997987927565,19.9496981891348,38.0080482897384,12.1327967806841,29.9094567404427,5.17225761647393,5.40659241658127,5.12098752679286,4.88833682685092,4.93191019506809,6.23348848911813,0.748490945674044,24934.3699195171,8291.54175050302,30.1810865191147,0,21047.3332997988,511.493360160966,2548.0685110664,309.658450704225,466.425653923541,2.05392354124748,4.11971830985915,0,2.79678068410463,4.88833682685092,4.93191019506809,21047.3332997988,2548.0685110664,0,4.61906694980904,0.285658230331568,4.13710349462366
"11","IGELDO","RENTA MEDIA","MUY MOTORIZADO",1072,533,539,191,502,141,238,35,12.1268656716418,32.11,82.69,133.93,8.2,9.9,7.4,0,229619.89,43077.74,0,0,44646,11898,23654,19981,290763.76,14888.31,40818,19.14,0,0,0,0,799,531,169,0.75,49.7201492537313,50.2798507462687,17.8171641791045,46.8283582089552,13.1529850746269,22.2014925373134,0.536449369445535,0.606988817441638,0.493246907522661,0.649535491550863,0.57661636609005,0.499014551096574,0.745335820895522,21419.765858209,4018.44589552239,0,0,27123.4850746269,1388.8348880597,3807.64925373134,1.78544776119403,0,0,0,0,3.26492537313433,0.649535491550863,0.57661636609005,27123.4850746269,3807.64925373134,0,5.39223864436327,0.318267419962335,0.0239549436795995
"12","INTXAURRONDO","RENTA BAJA","MOTORIZADO",15558,7914,7644,3335,7136,2432,2655,706,5.78480524489009,14.33,79.04,178.05,12.1,14.6,11,0,1904997.16,157881.82,2100,0,34232,10202,20228,15650,2379840.89,78358.17,200358.19,9658.45,52085.81,4857.37,0,0,9294,6099,2024,0.6,50.8677207867335,49.1322792132665,21.4359172130094,45.8670780305952,15.6318292839697,17.0651754724258,7.9652163410731,8.60820504735414,8.61245254758154,9.23323758507362,9.94560994560995,5.56673795445968,0.59737755495565,12244.486180743,1014.7950893431,13.4978789047435,0,15296.573402751,503.651947551099,1287.81456485409,62.0802802416763,334.784740969276,31.2210438359686,0,0,4.53785833654711,9.23323758507362,9.94560994560995,15296.573402751,1287.81456485409,0,7.49457102031246,0.331857681587145,1.0392134710566
"13","LANDARBASO","RENTA BAJA","MUY MOTORIZADO",17,6,11,2,7,3,5,0,58.8235294117647,500,0,600,0,0,0,0,2035.18,0,0,0,0,0,0,0,691.24,13.13,0,0,0,0,0,0,18,11,2,1.2,35.2941176470588,64.7058823529412,11.7647058823529,41.1764705882353,17.6470588235294,29.4117647058824,0.00603882967480902,0.012387526886564,0.00516488908400692,0.0090572678104702,0.0122684333210649,0.0104834989726171,1.05882352941176,11971.6470588235,0,0,0,4066.11764705882,77.2352941176471,0,0,0,0,0,0,0,0.0090572678104702,0.0122684333210649,4066.11764705882,0,0,0,0.181818181818182,0
"14","LOIOLA","RENTA BAJA","POCO MOTORIZADO",5728,2869,2859,1192,2602,807,1127,300,7.50698324022346,15.81,88.89,133.01,12.5,14.2,11.5,0,622799.54,35534.1,600,0,32948,11663,19482,15710,911192.62,20850.47,100570.05,4039.02,9634.35,7011.77,0,0,2665,1884,520,0.52,50.0872905027933,49.9127094972067,20.8100558659218,45.4259776536313,14.088687150838,19.6752793296089,2.88756705617118,3.21963085169878,3.07827389406812,3.36671583469192,3.30020856336646,2.36298066842789,0.465258379888268,10872.8969972067,620.357891061452,10.4748603351955,0,15907.6923882682,364.009601955307,1755.76204608939,70.5136173184357,168.197451117318,122.41218575419,0,0,5.23743016759777,3.36671583469192,3.30020856336646,15907.6923882682,1755.76204608939,0,8.64995983652847,0.276008492569002,1.51557973733583
"15","MARTUTENE","RENTA BAJA","MUY MOTORIZADO",2712,1390,1322,487,1465,420,340,108,7.37463126843658,18.84,82.41,133.82,11,12,10.8,0,512848.61,229170.12,0,0,33218,11739,19870,15293,634326.91,10520.52,29892.81,1141.67,4819.22,0,122.85,0,2698,1700,347,1,51.2536873156342,48.7463126843658,17.9572271386431,54.0191740412979,15.4867256637168,12.5368731563422,1.39899554133076,1.48875550400342,1.25765049195569,1.89555676319126,1.71758066494909,0.712877930137963,0.994837758112094,18910.3469764012,8450.22566371681,0,0,23389.6353244838,387.924778761062,1102.24225663717,42.0969764011799,177.699852507375,0,4.52986725663717,0,3.98230088495575,1.89555676319126,1.71758066494909,23389.6353244838,1102.24225663717,0,6.57703140844714,0.204117647058824,0.42315418828762
"16","MIRACRUZ- BIDEBIETA","RENTA BAJA","POCO MOTORIZADO",8995,4709,4286,1819,4509,1315,1352,372,5.6698165647582,12.74,80.35,192.86,10.9,10,11.4,0,1139431.49,87548.27,3700,0,33388,11403,19212,15936,1325957.44,26305.26,121555.74,7059.31,17481.56,1613.38,40.95,0,0,0,0,0,52.3513062812674,47.6486937187326,20.2223457476376,50.1278488048916,14.6192329071707,15.0305725403002,4.73947482311261,4.8266309305285,4.69746662190429,5.83417436534431,5.37766327240011,2.83473812219566,0,12667.3873262924,973.29927737632,41.1339633129516,0,14741.0499166203,292.443135075042,1351.37009449694,78.480377987771,194.347526403558,17.9364091161757,0.455252918287938,0,4.13563090605892,5.83417436534431,5.37766327240011,14741.0499166203,1351.37009449694,0,6.83026600668233,0,Inf
"17","MIRAMON - ZORROAGA","RENTA ALTA","MOTORIZADO",2269,1158,1111,426,926,222,695,51,6.61084178052005,12.55,74.4,129.04,6.9,9.8,5.8,0,1345030.73,420588.89,0,0,89559,18164,50167,21478,1019982.17,91557.96,119204.8,9785.4,0,0,0,0,1398,816,311,0.63,51.0356985456148,48.9643014543852,18.774790656677,40.8109299250771,9.78404583516968,30.6302335830762,1.16549412723814,1.25114021554297,1.10012137489347,1.19814714178506,0.907864065758803,1.45720635719378,0.616130453944469,59278.5689731159,18536.3107095637,0,0,44952.93829881,4035.16791538123,5253.62714852358,431.264874394006,0,0,0,0,2.24768620537682,1.19814714178506,0.907864065758803,44952.93829881,5253.62714852358,0,3.71220136201761,0.381127450980392,6.99957081545064
"18","ZUBIETA","RENTA MEDIA","MUY MOTORIZADO",284,144,140,51,129,56,48,6,7.04225352112676,29.41,66.67,121.95,9.8,21.6,5.3,0,221993.71,38345.24,0,0,41814,10206,26443,16774,164772.56,1870.75,33293.5,42.55,1469.6,0,0,0,354,168,30,1.23,50.7042253521127,49.2957746478873,17.9577464788732,45.4225352112676,19.7183098591549,16.9014084507042,0.144931912195417,0.157659433101724,0.131704671642177,0.166912506792951,0.229010755326545,0.100641590137124,1.24647887323944,78166.7992957746,13501.8450704225,0,0,58018.5070422535,658.714788732394,11723.0633802817,14.9823943661972,517.464788732394,0,0,0,2.11267605633803,0.166912506792951,0.229010755326545,58018.5070422535,11723.0633802817,0,3.48922323546726,0.178571428571429,0.120197740112994
